100468384,NON-CRIMINAL,LOST PROPERTY,Tuesday,05/18/2010,14:00,PARK,NONE,1300 Block of PIERCE ST,-122.435976420716,37.7823978123969,"(37.7823978123969, -122.435976420716)",10046838471000
100531414,NON-CRIMINAL,LOST PROPERTY,Friday,05/21/2010,14:00,PARK,NONE,2100 Block of FULTON ST,-122.450555872513,37.7753351819421,"(37.7753351819421, -122.450555872513)",10053141471000
100608057,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,07/02/2010,14:00,PARK,PSYCHOPATHIC CASE,200 Block of DIVISADERO ST,-122.436835270374,37.7708213653549,"(37.7708213653549, -122.436835270374)",10060805764020
100709439,NON-CRIMINAL,LOST PROPERTY,Tuesday,08/03/2010,14:00,PARK,NONE,WALLER ST / STANYAN ST,-122.453354647469,37.7682463076665,"(37.7682463076665, -122.453354647469)",10070943971000
100778995,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,08/24/2010,14:00,PARK,NONE,1600 Block of GOLDEN GATE AV,-122.437306922591,37.7789392907473,"(37.7789392907473, -122.437306922591)",10077899564020
100821061,NON-CRIMINAL,"AIDED CASE, DOG BITE",Sunday,09/05/2010,14:00,PARK,NONE,1000 Block of SCOTT ST,-122.436863236818,37.7791795085094,"(37.7791795085094, -122.436863236818)",10082106164010
100884520,NON-CRIMINAL,LOST PROPERTY,Monday,09/20/2010,14:00,PARK,NONE,100 Block of JOHNFKENNEDY DR,-122.457507583541,37.7711332354432,"(37.7711332354432, -122.457507583541)",10088452071000
100975919,NON-CRIMINAL,FOUND PROPERTY,Wednesday,10/20/2010,14:00,PARK,NONE,800 Block of CLAYTON ST,-122.447850161714,37.766548172887,"(37.766548172887, -122.447850161714)",10097591972000
106026655,NON-CRIMINAL,LOST PROPERTY,Saturday,02/20/2010,14:00,PARK,NONE,1900 Block of GROVE ST,-122.4487241991,37.7746158743767,"(37.7746158743767, -122.4487241991)",10602665571000
106053686,NON-CRIMINAL,LOST PROPERTY,Tuesday,05/04/2010,14:00,PARK,NONE,SCOTT ST / FULTON ST,-122.436507619977,37.7770672269836,"(37.7770672269836, -122.436507619977)",10605368671000
